date,parameter,units,SiteID,org,org_id,time,value,sample_method,analytical_method,particle_size,date_time,media,sample_depth
2005-04-29,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,01:30:00,6.129999999999999e-4,UNKNOWN,NA,NA,2005-04-29,Water,NA
2005-02-24,Cadmium,NA,AR-3A,California Gulch (US EPA Region 8),0801478,12:20:00,NA,UNKNOWN,NA,NA,2005-02-24,Water,NA
2005-04-17,Cadmium,NA,AR-1,California Gulch (US EPA Region 8),0801478,09:00:00,NA,UNKNOWN,NA,NA,2005-04-17,Water,NA
2005-04-17,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,23:00:00,0.00109,UNKNOWN,NA,NA,2005-04-17,Water,NA
2005-05-13,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,05:30:00,0.0049900000000000005,UNKNOWN,NA,NA,2005-05-13,Water,NA
2005-05-20,Cadmium,NA,AR-3A,California Gulch (US EPA Region 8),0801478,06:30:00,NA,UNKNOWN,NA,NA,2005-05-20,Water,NA
2005-07-20,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,10:50:00,2.9e-4,UNKNOWN,NA,NA,2005-07-20,Water,NA
2005-05-21,Cadmium,NA,AR-1,California Gulch (US EPA Region 8),0801478,20:30:00,NA,UNKNOWN,NA,NA,2005-05-21,Water,NA
2005-04-06,Cadmium,NA,AR-1,California Gulch (US EPA Region 8),0801478,07:59:00,NA,UNKNOWN,NA,NA,2005-04-06,Water,NA
2005-04-02,Cadmium,NA,AR-1,California Gulch (US EPA Region 8),0801478,18:59:00,NA,UNKNOWN,NA,NA,2005-04-02,Water,NA
2005-04-08,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,22:59:00,9.48e-4,UNKNOWN,NA,NA,2005-04-08,Water,NA
2005-05-23,Cadmium,NA,AR-1,California Gulch (US EPA Region 8),0801478,04:30:00,NA,UNKNOWN,NA,NA,2005-05-23,Water,NA
2005-04-09,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,22:59:00,7.85e-4,UNKNOWN,NA,NA,2005-04-09,Water,NA
2005-05-15,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,06:30:00,4.6300000000000003e-4,UNKNOWN,NA,NA,2005-05-15,Water,NA
2005-05-22,Cadmium,NA,AR-1,California Gulch (US EPA Region 8),0801478,20:30:00,NA,UNKNOWN,NA,NA,2005-05-22,Water,NA
2005-04-18,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,22:00:00,0.0198,UNKNOWN,NA,NA,2005-04-18,Water,NA
2005-04-12,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,15:59:00,0.0286,UNKNOWN,NA,NA,2005-04-12,Water,NA
2005-04-21,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,09:00:00,0.0394,UNKNOWN,NA,NA,2005-04-21,Water,NA
2005-04-21,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,23:00:00,7.34e-4,UNKNOWN,NA,NA,2005-04-21,Water,NA
2005-04-03,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,19:59:00,0.00177,UNKNOWN,NA,NA,2005-04-03,Water,NA
2005-04-22,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,23:00:00,4.83e-4,UNKNOWN,NA,NA,2005-04-22,Water,NA
2005-04-25,Cadmium,NA,AR-1,California Gulch (US EPA Region 8),0801478,23:00:00,NA,UNKNOWN,NA,NA,2005-04-25,Water,NA
2005-04-06,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,10:00:00,3.31e-4,UNKNOWN,NA,NA,2005-04-06,Water,NA
2005-05-19,Cadmium,NA,AR-1,California Gulch (US EPA Region 8),0801478,20:30:00,NA,UNKNOWN,NA,NA,2005-05-19,Water,NA
2005-04-25,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,10:29:00,5.53e-4,UNKNOWN,NA,NA,2005-04-25,Water,NA
2005-04-17,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,10:00:00,0.017,UNKNOWN,NA,NA,2005-04-17,Water,NA
2005-06-23,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,01:12:00,0.023,UNKNOWN,NA,NA,2005-06-23,Water,NA
2005-05-21,Cadmium,NA,AR-1,California Gulch (US EPA Region 8),0801478,04:30:00,NA,UNKNOWN,NA,NA,2005-05-21,Water,NA
2005-04-26,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,10:29:00,0.0013,UNKNOWN,NA,NA,2005-04-26,Water,NA
2005-04-26,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,00:28:00,0.026199999999999998,UNKNOWN,NA,NA,2005-04-26,Water,NA
2005-04-25,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,00:28:00,0.0128,UNKNOWN,NA,NA,2005-04-25,Water,NA
2005-04-13,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,23:00:00,0.00128,UNKNOWN,NA,NA,2005-04-13,Water,NA
2005-04-23,Cadmium,ug/l,AR-1,California Gulch (US EPA Region 8),0801478,23:00:00,2.2700000000000002e-4,UNKNOWN,NA,NA,2005-04-23,Water,NA
2005-04-06,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,15:59:00,0.0293,UNKNOWN,NA,NA,2005-04-06,Water,NA
2005-04-02,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,20:59:00,4.99e-4,UNKNOWN,NA,NA,2005-04-02,Water,NA
2005-05-09,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,09:30:00,0.00717,UNKNOWN,NA,NA,2005-05-09,Water,NA
