2014 Jun 03 11:05:55
                     Time,      [CH4]_ppm,   [CH4]_ppm_se,      [H2O]_ppm,   [H2O]_ppm_se,      [CO2]_ppm,   [CO2]_ppm_se,  [CH4_DRY]_ppm,[CH4_DRY]_ppm_se,  [CO2_DRY]_ppm,[CO2_DRY]_ppm_se,      GasP_torr,   GasP_torr_se,         GasT_C,      GasT_C_se,         AmbT_C,      AmbT_C_se,         RD0_us,      RD0_us_se,         RD1_us,      RD1_us_se,       Fit_Flag
    06/03/14 11:06:52.752,    2.06936e+00,    0.00000e+00,    1.43524e+04,    0.00000e+00,    3.96861e+02,    0.00000e+00,    2.09949e+00,    0.00000e+00,    4.02640e+02,    0.00000e+00,    1.40416e+02,    0.00000e+00,    2.85443e+01,    0.00000e+00,    1.18533e+02,    0.00000e+00,    8.65913e+00,    0.00000e+00,    7.52574e+00,    0.00000e+00,              3
    06/03/14 11:06:53.164,    2.06720e+00,    0.00000e+00,    1.44016e+04,    0.00000e+00,    3.95680e+02,    0.00000e+00,    2.09740e+00,    0.00000e+00,    4.01462e+02,    0.00000e+00,    1.40501e+02,    0.00000e+00,    2.85353e+01,    0.00000e+00,    1.18645e+02,    0.00000e+00,    8.66227e+00,    0.00000e+00,    7.53600e+00,    0.00000e+00,              3
    06/03/14 11:06:53.577,    2.05927e+00,    0.00000e+00,    1.42761e+04,    0.00000e+00,    3.96489e+02,    0.00000e+00,    2.08909e+00,    0.00000e+00,    4.02232e+02,    0.00000e+00,    1.40436e+02,    0.00000e+00,    2.85354e+01,    0.00000e+00,    1.18618e+02,    0.00000e+00,    8.64723e+00,    0.00000e+00,    7.52639e+00,    0.00000e+00,              3
    06/03/14 11:06:53.990,    2.05422e+00,    0.00000e+00,    1.42482e+04,    0.00000e+00,    3.95520e+02,    0.00000e+00,    2.08391e+00,    0.00000e+00,    4.01237e+02,    0.00000e+00,    1.40393e+02,    0.00000e+00,    2.85379e+01,    0.00000e+00,    1.18596e+02,    0.00000e+00,    8.66468e+00,    0.00000e+00,    7.52793e+00,    0.00000e+00,              3
    06/03/14 11:06:54.407,    2.04861e+00,    0.00000e+00,    1.43072e+04,    0.00000e+00,    3.95263e+02,    0.00000e+00,    2.07835e+00,    0.00000e+00,    4.01000e+02,    0.00000e+00,    1.40385e+02,    0.00000e+00,    2.85333e+01,    0.00000e+00,    1.18663e+02,    0.00000e+00,    8.66618e+00,    0.00000e+00,    7.53402e+00,    0.00000e+00,              3
    06/03/14 11:06:54.816,    2.05153e+00,    0.00000e+00,    1.43026e+04,    0.00000e+00,    3.95751e+02,    0.00000e+00,    2.08130e+00,    0.00000e+00,    4.01493e+02,    0.00000e+00,    1.40392e+02,    0.00000e+00,    2.85471e+01,    0.00000e+00,    1.18524e+02,    0.00000e+00,    8.65136e+00,    0.00000e+00,    7.53025e+00,    0.00000e+00,              3
    06/03/14 11:06:55.228,    2.04745e+00,    0.00000e+00,    1.43027e+04,    0.00000e+00,    3.94872e+02,    0.00000e+00,    2.07716e+00,    0.00000e+00,    4.00602e+02,    0.00000e+00,    1.40434e+02,    0.00000e+00,    2.85384e+01,    0.00000e+00,    1.18598e+02,    0.00000e+00,    8.65559e+00,    0.00000e+00,    7.54169e+00,    0.00000e+00,              3
    06/03/14 11:06:55.642,    2.04252e+00,    0.00000e+00,    1.42525e+04,    0.00000e+00,    3.95873e+02,    0.00000e+00,    2.07205e+00,    0.00000e+00,    4.01597e+02,    0.00000e+00,    1.40436e+02,    0.00000e+00,    2.85366e+01,    0.00000e+00,    1.18645e+02,    0.00000e+00,    8.66797e+00,    0.00000e+00,    7.52944e+00,    0.00000e+00,              3
    06/03/14 11:06:56.054,    2.04581e+00,    0.00000e+00,    1.44444e+04,    0.00000e+00,    3.95442e+02,    0.00000e+00,    2.07579e+00,    0.00000e+00,    4.01237e+02,    0.00000e+00,    1.40411e+02,    0.00000e+00,    2.85418e+01,    0.00000e+00,    1.18596e+02,    0.00000e+00,    8.65369e+00,    0.00000e+00,    7.52707e+00,    0.00000e+00,              3
    06/03/14 11:06:56.472,    2.03668e+00,    0.00000e+00,    1.42237e+04,    0.00000e+00,    3.95041e+02,    0.00000e+00,    2.06607e+00,    0.00000e+00,    4.00741e+02,    0.00000e+00,    1.40394e+02,    0.00000e+00,    2.85363e+01,    0.00000e+00,    1.18633e+02,    0.00000e+00,    8.66971e+00,    0.00000e+00,    7.52702e+00,    0.00000e+00,              3
    06/03/14 11:06:56.880,    2.03574e+00,    0.00000e+00,    1.43401e+04,    0.00000e+00,    3.95594e+02,    0.00000e+00,    2.06536e+00,    0.00000e+00,    4.01350e+02,    0.00000e+00,    1.40365e+02,    0.00000e+00,    2.85473e+01,    0.00000e+00,    1.18497e+02,    0.00000e+00,    8.67570e+00,    0.00000e+00,    7.52706e+00,    0.00000e+00,              3
    06/03/14 11:06:57.293,    2.04284e+00,    0.00000e+00,    1.43662e+04,    0.00000e+00,    3.94574e+02,    0.00000e+00,    2.07261e+00,    0.00000e+00,    4.00326e+02,    0.00000e+00,    1.40430e+02,    0.00000e+00,    2.85428e+01,    0.00000e+00,    1.18546e+02,    0.00000e+00,    8.65224e+00,    0.00000e+00,    7.53159e+00,    0.00000e+00,              3
    06/03/14 11:06:57.706,    2.03546e+00,    0.00000e+00,    1.43240e+04,    0.00000e+00,    3.94720e+02,    0.00000e+00,    2.06504e+00,    0.00000e+00,    4.00456e+02,    0.00000e+00,    1.40413e+02,    0.00000e+00,    2.85396e+01,    0.00000e+00,    1.18598e+02,    0.00000e+00,    8.67716e+00,    0.00000e+00,    7.53708e+00,    0.00000e+00,              3
    06/03/14 11:06:58.126,    2.03506e+00,    0.00000e+00,    1.42754e+04,    0.00000e+00,    3.95055e+02,    0.00000e+00,    2.06453e+00,    0.00000e+00,    4.00777e+02,    0.00000e+00,    1.40445e+02,    0.00000e+00,    2.85451e+01,    0.00000e+00,    1.18543e+02,    0.00000e+00,    8.67440e+00,    0.00000e+00,    7.52773e+00,    0.00000e+00,              3
