hour,site,sensor,value
2019-10-07T23:00:00Z,Archery,depth,3.175041469092023
2019-10-07T23:00:00Z,Archery,depth_lead,3.175041469092023
2019-10-07T23:00:00Z,Archery,depth_rate,0
2019-10-07T23:00:00Z,Archery,dissolved oxygen,112.63409689613322
2019-10-07T23:00:00Z,Archery,do_mg,11.591896684372895
2019-10-07T23:00:00Z,Archery,orp,224.48941003569354
2019-10-07T23:00:00Z,Archery,ph,8.766309465012405
2019-10-07T23:00:00Z,Archery,salinity,726.8848082822699
2019-10-07T23:00:00Z,Archery,temp,13.928247954091468
2019-10-07T23:00:00Z,Archery,turb,5.112016453401313
2019-10-07T23:00:00Z,ELC,depth,0.9360887678483385
2019-10-07T23:00:00Z,ELC,depth_lead,0.936179753322628
2019-10-07T23:00:00Z,ELC,depth_rate,-9.098547428987286e-5
2019-10-07T23:00:00Z,ELC,dissolved oxygen,89.28068822654751
2019-10-07T23:00:00Z,ELC,do_mg,8.09117407407666
2019-10-07T23:00:00Z,ELC,orp,294.12052877071056
2019-10-07T23:00:00Z,ELC,ph,8.682616312078707
2019-10-07T23:00:00Z,ELC,salinity,578.3806120729936
2019-10-07T23:00:00Z,ELC,temp,11.976634340742121
2019-10-07T23:00:00Z,ELC,turb,1.5812359362634105
2019-10-07T23:00:00Z,Legacy,depth,1.3681339505258758
2019-10-07T23:00:00Z,Legacy,depth_lead,3.6829127673657927
2019-10-07T23:00:00Z,Legacy,depth_rate,-2.3147788168399166
2019-10-07T23:00:00Z,Legacy,dissolved oxygen,93.75408177639764
2019-10-07T23:00:00Z,Legacy,do_mg,8.524098014861906
2019-10-07T23:00:00Z,Legacy,orp,147.4502212502925
2019-10-07T23:00:00Z,Legacy,ph,8.04987627665932
2019-10-07T23:00:00Z,Legacy,salinity,139.62994923706046
2019-10-07T23:00:00Z,Legacy,temp,11.57157062348811
2019-10-07T23:00:00Z,Legacy,turb,0.8994306672614143
2019-10-07T23:00:00Z,Prospect,depth,1.2747464356172813
2019-10-07T23:00:00Z,Prospect,depth_lead,1.2763529271590266
2019-10-07T23:00:00Z,Prospect,depth_rate,-0.0016064915417454318
2019-10-07T23:00:00Z,Prospect,dissolved oxygen,69.00684997508311
2019-10-07T23:00:00Z,Prospect,do_mg,7.41765909043744
2019-10-07T23:00:00Z,Prospect,orp,309.45107198246785
2019-10-07T23:00:00Z,Prospect,ph,8.061863820325092
2019-10-07T23:00:00Z,Prospect,salinity,404.75504589473195
2019-10-07T23:00:00Z,Prospect,temp,12.0271148793314
2019-10-07T23:00:00Z,Prospect,turb,3.236362299674246
2019-10-07T23:00:00Z,Rist,depth,1.3198517921228792
2019-10-07T23:00:00Z,Rist,depth_lead,1.3189291910858714
2019-10-07T23:00:00Z,Rist,depth_rate,9.226010370076672e-4
2019-10-07T23:00:00Z,Rist,dissolved oxygen,104.1778074139319
2019-10-07T23:00:00Z,Rist,do_mg,8.890567245747174
2019-10-07T23:00:00Z,Rist,orp,354.91188093262315
2019-10-07T23:00:00Z,Rist,ph,8.148810652460488
2019-10-07T23:00:00Z,Rist,salinity,86.1772242840712
2019-10-07T23:00:00Z,Rist,temp,10.039476706407136
2019-10-07T23:00:00Z,Rist,turb,0.008958974766029373
2019-10-07T23:00:00Z,Timberline,depth,1.8631616662053494
2019-10-07T23:00:00Z,Timberline,depth_lead,1.8591373764453407
2019-10-07T23:00:00Z,Timberline,depth_rate,0.05206160445179775
2019-10-07T23:00:00Z,Timberline,dissolved oxygen,76.69188049282178
2019-10-07T23:00:00Z,Timberline,do_mg,8.225318700837892
2019-10-07T23:00:00Z,Timberline,orp,244.4736238413987
2019-10-07T23:00:00Z,Timberline,ph,8.15520517065219
2019-10-07T23:00:00Z,Timberline,salinity,372.5226196483472
2019-10-07T23:00:00Z,Timberline,temp,12.09035078842905
2019-10-07T23:00:00Z,Timberline,turb,0.23138309519174646
2019-10-08T00:00:00Z,Archery,depth,3.1781217452043586
2019-10-08T00:00:00Z,Archery,depth_lead,3.1781217452043586
2019-10-08T00:00:00Z,Archery,depth_rate,0
2019-10-08T00:00:00Z,Archery,dissolved oxygen,112.74336920689862
2019-10-08T00:00:00Z,Archery,do_mg,11.603142598103826
2019-10-08T00:00:00Z,Archery,orp,224.70719911780063
2019-10-08T00:00:00Z,Archery,ph,8.774814126731403
2019-10-08T00:00:00Z,Archery,salinity,727.5899977839405
2019-10-08T00:00:00Z,Archery,temp,13.941760486093752
2019-10-08T00:00:00Z,Archery,turb,5.116975891670251
2019-10-08T00:00:00Z,ELC,depth,0.9376746500378665
2019-10-08T00:00:00Z,ELC,depth_lead,0.938482622685669
2019-10-08T00:00:00Z,ELC,depth_rate,-8.079726478020822e-4
2019-10-08T00:00:00Z,ELC,dissolved oxygen,87.14947375244549
2019-10-08T00:00:00Z,ELC,do_mg,7.957080709633724
2019-10-08T00:00:00Z,ELC,orp,308.57731491505797
2019-10-08T00:00:00Z,ELC,ph,8.569536883018058
2019-10-08T00:00:00Z,ELC,salinity,588.8555380564131
2019-10-08T00:00:00Z,ELC,temp,11.66375798145741
2019-10-08T00:00:00Z,ELC,turb,1.804637273324272
2019-10-08T00:00:00Z,Legacy,depth,1.3624005560710657
2019-10-08T00:00:00Z,Legacy,depth_lead,4.566538119211936
2019-10-08T00:00:00Z,Legacy,depth_rate,-3.204137563140871
2019-10-08T00:00:00Z,Legacy,dissolved oxygen,93.8352207532404
2019-10-08T00:00:00Z,Legacy,do_mg,8.595211623830995
2019-10-08T00:00:00Z,Legacy,orp,141.68988802373264
2019-10-08T00:00:00Z,Legacy,ph,8.037444761433967
2019-10-08T00:00:00Z,Legacy,salinity,139.79188387590162
2019-10-08T00:00:00Z,Legacy,temp,11.259814374409208
2019-10-08T00:00:00Z,Legacy,turb,0.9543964482517793
2019-10-08T00:00:00Z,Prospect,depth,1.2804086560562393
2019-10-08T00:00:00Z,Prospect,depth_lead,1.281831138302525
2019-10-08T00:00:00Z,Prospect,depth_rate,-0.0014224822462856584
2019-10-08T00:00:00Z,Prospect,dissolved oxygen,67.88769303157221
2019-10-08T00:00:00Z,Prospect,do_mg,7.336139305903611
2019-10-08T00:00:00Z,Prospect,orp,318.1982699628762
2019-10-08T00:00:00Z,Prospect,ph,7.996691123571249
2019-10-08T00:00:00Z,Prospect,salinity,400.5047492178446
2019-10-08T00:00:00Z,Prospect,temp,11.803382072058533
2019-10-08T00:00:00Z,Prospect,turb,2.8657815460116858
2019-10-08T00:00:00Z,Rist,depth,1.313726883835244
2019-10-08T00:00:00Z,Rist,depth_lead,1.3129133145545147
2019-10-08T00:00:00Z,Rist,depth_rate,8.135692807296389e-4
2019-10-08T00:00:00Z,Rist,dissolved oxygen,104.27409761799281
2019-10-08T00:00:00Z,Rist,do_mg,8.962913769596963
2019-10-08T00:00:00Z,Rist,orp,358.4286287247478
2019-10-08T00:00:00Z,Rist,ph,8.14234528609906
2019-10-08T00:00:00Z,Rist,salinity,86.24258193194979
2019-10-08T00:00:00Z,Rist,temp,9.751436651519985
2019-10-08T00:00:00Z,Rist,turb,0.019076264380624427
2019-10-08T00:00:00Z,Timberline,depth,1.8636109127869862
2019-10-08T00:00:00Z,Timberline,depth_lead,1.8578769044507268
2019-10-08T00:00:00Z,Timberline,depth_rate,0.041387693015851636
2019-10-08T00:00:00Z,Timberline,dissolved oxygen,75.21026466327316
2019-10-08T00:00:00Z,Timberline,do_mg,8.109280023251682
2019-10-08T00:00:00Z,Timberline,orp,242.3289962467989
2019-10-08T00:00:00Z,Timberline,ph,8.089916529142556
2019-10-08T00:00:00Z,Timberline,salinity,375.63247991604965
2019-10-08T00:00:00Z,Timberline,temp,11.86301988315168
